,Bubble Sort,Merge Sort,Counting Sort,Insertion Sort,Qucik Sort
100,0.0005997419357299805,0.00039970874786376953,0.0,0.0003996610641479492,0.00020008087158203126
250,0.0047998189926147464,0.0008001327514648438,0.00019943714141845703,0.001996612548828125,0.0004999399185180664
500,0.02789583206176758,0.0021997690200805664,0.00039997100830078123,0.011299610137939453,0.0012000560760498046
750,0.05770277976989746,0.002901625633239746,0.0,0.023590707778930665,0.0016996383666992188
1000,0.08460400104522706,0.0031894683837890626,0.0005008220672607422,0.04160654544830322,0.002604055404663086
